Module,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_maxSpeed,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_minSpeed,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_startTime,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_stopTime,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_totalDistance,/veins-4.4/examples/pveins_providencia/results/60Demand_PER10/nodebug-0.sca_nodebug-0-20170616-11:50:16-18216_totalTime
ProvidenciaExampleScenario.node[316].veinsmobility,16.25,0,27076,27165.5,222.908,699.777,89
ProvidenciaExampleScenario.node[356].veinsmobility,16.25,0,27086,27165.5,218.167,741.054,79
ProvidenciaExampleScenario.node[398].veinsmobility,19.25,0,27096.5,27165.5,205.239,766.878,68.5
ProvidenciaExampleScenario.node[333].veinsmobility,19.3,0,27081.5,27165.5,215.245,773.626,83.5
ProvidenciaExampleScenario.node[406].veinsmobility,16.75,0,27098,27166,160.716,497.837,67.5
ProvidenciaExampleScenario.node[588].veinsmobility,16.25,6.9,27145,27166,82.338,278.266,20.5
ProvidenciaExampleScenario.node[366].veinsmobility,18.6396,0,27089.5,27166.5,203.771,767.67,76.5
ProvidenciaExampleScenario.node[284].veinsmobility,16.25,0,27068.5,27167,228.943,691.475,98
ProvidenciaExampleScenario.node[434].veinsmobility,16.25,2.09445,27104.5,27168,194.195,746.769,63
ProvidenciaExampleScenario.node[156].veinsmobility,19.25,0,27037,27168,384.731,1313.61,130.5
ProvidenciaExampleScenario.node[416].veinsmobility,19.25,0,27100,27168,204.066,773.927,67.5
ProvidenciaExampleScenario.node[400].veinsmobility,18.7232,0,27097,27168,210.469,777.663,70.5
